"Back to the Bulk","返回拼团"
"Bulk #%d","%d号团"
"Bulk Expiration","拼团超时时间"
"Bulk ID","拼团编号"
"Bulk Order Management","拼团订单"
"Bulk Price","拼团价格"
"Bulk Progress","拼团进度"
"Bulk Sale","拼团"
"Bulk Sale Configuration","拼团设置"
"Bulk Size","拼团人数上限"
"Bulk Size Limitation","拼团人数限制"
"Create a New Bulk","发起拼团"
"Create a Same Bulk","发起相同的拼团"
"Creator: %s","发起人: %s"
"Closed","已关闭"
"Days","天"
"Default Expiration","默认超时时间"
"Edit Bulk Price","编辑拼团价格"
"In days","以天为单位"
"In minutes","以分钟为单位"
"Join the Bulk","加入拼团"
"Latest Bulk","最新拼团"
"Message From Creator","拼团发起人寄语"
"People","人"
"Price per pcs for %d people bulk","%d人拼团价"
"Progress: %d/%d","进度: %d/%d"
"Retreat the Bulk","退出拼团"
"Say Something","说点什么"
"Size of the bulk. Cannot be changed after submited.","请选择拼团阶梯价格（选择后不可更改）"
"Share to:","分享到:"
"The bulk is full.","本次拼团人数已满。"
"The bulk has been closed.","本次拼团已结束。"
"The bulk will be closed at %s","本次拼团将于%s结束"
"The bulk will be closed if Yes is specified.","如果设置为是将会在拼团人数已满时关闭拼团"
"You have already joined this bulk.","您已加入本次拼团"
"You have not completed the payment yet.","尚未完成付款"
"You have retreated successfully.","您已退出本次拼团"
"Bulk Product","拼团产品"
"Bulking","拼团中"
"Bulks","拼团"
