"Alipay","支付宝"
"Alipay Direct Pay","支付宝即时到账"
"Anti Phishing Service","防钓鱼验证服务"
"Available Currencies","可用货币"
"Bank Transfer","银行转账"
"Cash on Delivery","货到付款"
"Card Verification Number","验证码"
"Check / Money Order","支票/汇票"
"Credit Card Number","信用卡号"
"Credit Card Type","信用卡品牌"
"I have completed the payment.","我已完成支付"
"Gateway","网关"
"Expiration Date","过期日期"
"Merchant ID","商户号"
"Name on Card","卡主姓名"
"No Payment Infomation Required","不需要付款信息"
"Partner ID","合作者身份ID"
"Saved CC","信用卡支付"
"Security Key","安全校验码"
"Secret Code","安全校验码"
"Select none if all currencies are available","若所有货币可用请留空"
"Seller Account Name","商家账号别名",
"Seller Email","商家账号"
"Seller ID","商家用户号"
"Seller ID Type","商家账号类型"
"Unionpay","银联支付"
"WeChat Pay","微信支付"
"Grand total to pay","应付金额"
"Open the WeChat APP. Scan the QRCode to pay.","打开微信扫一扫进行支付"
"The order has been placed successfully. Please complete the payment in time.","订单提交成功，请尽快付款！"
"You are using Wechat direct payment","正在使用即时到账交易"
"Please choose payment method","请选择支付方式"
