"%d item(s) have been deleted successfully.","成功刪除了%d條記錄。"
"%d item(s) have been disabled successfully.","成功禁用了%d條記錄。"
"%d item(s) have been enabled successfully.","成功啟用了%d條記錄。"
"%d indexer(s) have been rebuild successfully.","成功重建了%d條索引。"
"%s has deleted %s","%s刪除了 %s"
"%s has logged in %s","%s已登錄"
"%s has saved %s","%s修改了 %s"
"Admin Panel","管理中心"
"Add New Language","新建語言"
"Add New Merchant","新建商戶"
"Add New Operation","新建操作"
"Add New Role","新建角色"
"Add New Store","新建店鋪"
"Add New User","新建用戶"
"Adjustment","調整"
"ALL","全部"
"An error detected while deleting. Please check the log report or try again.","刪除時發生了錯誤，請查看錯誤日誌或重試。"
"An error detected while disabling. Please check the log report or try again.","禁用時發生了錯誤，請查看錯誤日誌或重試。"
"An error detected while enabling. Please check the log report or try again.","啟用時發生了錯誤，請查看錯誤日誌或重試。"
"An error detected while saving. Please check the log report or try again.","保存時發生了錯誤，請查看錯誤日誌或重試。"
"An item has been saved successfully.","保存成功。"
"Are you sure to delete these records?","您確定要刪除這些記錄嗎？"
"Are you sure to delete this record?","您確定要刪除這條記錄嗎？"
"Backend","後端"
"Backend Path","後臺路徑"
"Base Url","基準Url"
"Cache and Indexer","緩存索引"
"Cache Management","緩存管理"
"Chart context menu","圖表導出菜單"
"Code","代碼"
"Compare","對比"
"Configuration saved successfully.","配置保存成功。"
"Cookie-free Domain","Cookie-free域名"
"Current Password","當前用戶密碼"
"Custom","自定義"
"Dashboard","統計圖表"
"Default Description","默認描述"
"Default Keywords","默認關鍵詞"
"Default Title","默認標題"
"Do not combine files when request via sdpy or http2","當通過spdy或http2請求時請勿合並文件"
"Download JPEG image","下載JPEG格式圖像"
"Download PDF document","下載PDF文檔"
"Download PNG image","下載PNG格式圖像"
"Download SVG vector image","下載SVG矢量圖像"
"Edit Language","編輯語言信息"
"Edit Merchant","編輯商戶信息"
"Edit Operation","編輯操作信息"
"Edit Role","編輯角色信息"
"Edit Store","編輯店鋪信息"
"Edit User","編輯用戶信息"
"End Date","截止日期"
"Events","事件記錄"
"Failed to save configuration.","配置保存失敗。"
"Flush","清空"
"Flush All","全部清空"
"For detail please visit <a href=""http://php.net/manual/en/function.sprintf.php"">sprintf</a>","詳情請查看<a href=""http://php.net/manual/zh/function.sprintf.php"">sprintf</a>"
"Frontend","前端"
"Generate Password","生成密碼"
"Global","全局"
"Global Configuration","全局配置"
"Global Notice","全局提示"
"Grant","授權"
"Image","圖像"
"Indexer Management","索引管理"
"Is Default","默認選項"
"Language Management","語言管理"
"Last 24 Hours","壹天內"
"Last 30 Days","壹月內"
"Last 12 Months","壹年內"
"Last Modified","最後更改"
"Layout","布局"
"Layout for Mobile Terminal","移動終端布局"
"Leave blank to use the old password.","留空則不修改密碼"
"Log Into Redseanet Admin Panel","登錄Redseanet管理中心"
"Login failed. Invalid username or password.","登錄失敗，用戶名或密碼錯誤。"
"Make sure that the Url ends with '/' (slash), e.g. http://yourdomain/","請確保Url以斜線'/'結尾，例如: http://yourdomain/"
"My Account","我的賬戶"
"No data to display","無可顯示數據"
"Operation","操作"
"Operation Management","操作管理"
"Others","其他"
"Page View","頁面訪問"
"Permissions","權限管理"
"Print chart","打印圖表"
"Rebuild","重建"
"Rebuild All","全部重建"
"Rebuild by Schedule","計劃重建"
"Rebuild All by Schedule","全部計劃重建"
"Robots","機器人協議"
"Role","角色"
"Role ID","角色ID"
"Role Info","角色信息"
"Role Management","角色管理"
"Save and Continue Edit","保存並繼續編輯"
"Scope","範圍"
"Sort Order","排列順序"
"Start Date","起始日期"
"Static Files","靜態文件"
"Static Files for Mobile Terminal","移動終端靜態文件"
"System Configuration","系統配置"
"Template","模板文件"
"Template for Mobile Terminal","移動終端模板文件"
"The current password is incurrect.","當前密碼輸入有誤。"
"The username does not exist.","該用戶名不存在。"
"Theme Configuration","主題配置"
"There must be one administrator at least.","至少需要有壹個管理員賬戶"
"Thumbnail","縮略圖"
"Unique Visitors","獨立訪客"
"Use %%s instead of the username","使用%%s代替用戶名"
"User Management","用戶管理"
"Welcome Text","歡迎提示"
"Welcome Text (Logged In)","歡迎提示（已登錄）"
"Welcome %s. Last Login: %s","歡迎%s。上次登陸時間: %s"
"You will receive an email with a link to reset your password.","您將會收到壹封包含重置密碼鏈接的郵件。"
