"Back to the Bulk","返回拼團"
"Bulk #%d","%d號團"
"Bulk Expiration","拼團超時時間"
"Bulk ID","拼團編號"
"Bulk Order Management","拼團訂單"
"Bulk Price","拼團價格"
"Bulk Progress","拼團進度"
"Bulk Sale","拼團"
"Bulk Sale Configuration","拼團設置"
"Bulk Size","拼團人數上限"
"Bulk Size Limitation","拼團人數限制"
"Create a New Bulk","發起拼團"
"Create a Same Bulk","發起相同的拼團"
"Creator: %s","發起人: %s"
"Closed","已關閉"
"Days","天"
"Default Expiration","默認超時時間"
"Edit Bulk Price","編輯拼團價格"
"In days","以天為單位"
"In minutes","以分鐘為單位"
"Join the Bulk","加入拼團"
"Latest Bulk","最新拼團"
"Message From Creator","拼團發起人寄語"
"People","人"
"Price per pcs for %d people bulk","%d人拼團價"
"Progress: %d/%d","進度: %d/%d"
"Retreat the Bulk","退出拼團"
"Say Something","說點什麽"
"Size of the bulk. Cannot be changed after submited.","請選擇拼團階梯價格（選擇後不可更改）"
"Share to:","分享到:"
"The bulk is full.","本次拼團人數已滿。"
"The bulk has been closed.","本次拼團已結束。"
"The bulk will be closed at %s","本次拼團將於%s結束"
"The bulk will be closed if Yes is specified.","如果設置為是將會在拼團人數已滿時關閉拼團"
"You have already joined this bulk.","您已加入本次拼團"
"You have not completed the payment yet.","尚未完成付款"
"You have retreated successfully.","您已退出本次拼團"
"Bulk Product","拼團產品"
"Bulking","拼團中"
"Bulks","拼團"
