"%d cache(s) have been flushed successfully.","成功清空了%d項緩存。"
"All caches have been flushed successfully.","成功清空了所有緩存。"
"CSS Cache has been pudged successfully.","CSS緩存清理成功。"
"Image Cache has been pudged successfully.","圖片緩存清理成功。"
"Pudge CSS Cache","清除CSS緩存"
"Pudge Image Cache","清除圖片緩存"
"DATA","數據緩存"
"I18N","國際化"
"INDEX","索引緩存"
"INVENTORY","產品庫存"
"LAYOUT_RENDERED","布局緩存"
"OAUTH","OAuth"
"RBAC_ROLE","權限結構"
"ROUTE_CACHE","路由緩存"
"STAT","統計數據"
"SYSTEM_CONFIG","系統配置"
"TABLE_DESCRIPTION","數據表結構"
"TRANSLATOR_PAIRS","翻譯對組"
"VIEWMODEL_RENDERED","頁面渲染"
