"Compression","壓縮格式"
"Download Template","下載模版"
"Export","導出"
"Export Customers","導出顧客"
"Export Customer Addresses","導出顧客地址"
"Export Products","導出產品"
"Export Product Stocks","導出產品庫存"
"Import/Export","導入/導出"
"Import Customers","導入顧客"
"Import Customer Addresses","導入顧客地址"
"Import Products","導入產品"
"Import Product Stocks","導入產品庫存"
"Importation complete.","導入完成"
"Including the table head and imported rows","包括表頭以及已上傳行數"
"Skip Row","跳過行"
"Start","開始"
"The %d - %d lines have been imported.","第 %d - %d 項已成功導入。"
"The file has been received. Click start button to import.","文件已接收。點擊開始按鈕開始導入。"
"The website will be unavailable temporarily while importing.","導入過程中網站將暫時不可用。"
"Truncate Data","清空數據"
"Uncompressed","未壓縮"
"Warning","警告"
"We suggest you backing your database up before importing.","導入前建議您進行數據庫備份。"
"Whether existed data would be truncated before importing or not.","導入數據前是否清空已存在數據。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","服務器PHP設置允許您壹次性上傳不超過 %s 大小的文件，如果您需要上傳更大的文件，請修改php.ini文件中 post_max_size (當前為 %s) 以及 upload_max_filesize (當前為 %s)的值。"
