"Add New Template","新建模板"
"An error detected while email transporting. Please try again later.","郵件傳輸失敗。請稍後再試。"
"An error detected while scheduling. Please check the log report or try again.","加入計劃失敗。請查看錯誤日誌或重試。"
"Auth Mode","認證方式"
"E-mail","電子郵箱"
"Edit Template","編輯模板"
"E-Mail","電子郵箱"
"EMail","電子郵箱"
"Email","電子郵箱"
"Email Configuration","郵件配置"
"Email Queue","郵件隊列"
"Encryption","加密方式"
"Host","服務器"
"Mail From","發件人"
"Newsletter","新聞訂閱"
"Newsletter Subscriber","新聞訂閱者"
"Newsletter Subscribers","新聞訂閱者"
"Port","端口"
"Queue","隊列"
"Rcpt To","收件人"
"Schedule","計劃"
"Scheduled successfully.","加入計劃成功"
"Scheduled time","計劃時間"
"Send","發送"
"Send Email","發送郵件"
"Sender Email","發件郵箱"
"Sender Name","發件人"
"Service","服務"
"Subscribe failed. Please try again later.","訂閱失敗，請稍後再試。"
"Subscriber","訂閱者"
"Success","發送成功"
"Thank you for your subscription.","感謝您的訂閱。"
"Transport","傳輸"
"Transportation Testing","傳輸測試"
