"%d images allowed at most. The maximum size of each image is %s.","最多允許上傳%d張圖片；請上傳小於%s的圖片"
"%d images allowed at most.","最多允許上傳%d張圖片"
"%d Days Ago","%d天前"
"View All,%d Reivews","查看全部%d條評論"
"The User Likely to be Interested","您可能感興趣的用戶"
"Add New Article","發布新帖"
"To subscribe","+訂閱"
"Address Book","地址簿"
"Author Only","只看樓主"
"Article Management","文章管理"
"Article Review","文章評論"
"Are related products","是否關聯相關產品"
"After the associated product, the reader from your article click into the product order, your account will be awarded points, up to 15 items can be selected.","關聯產品之後，讀者從您的文章點擊進入商品下單後，您的賬號下將獲得積分獎勵，最多可選15個商品"
"Be Like","被贊"
"Be Collected","被收藏"
"Be Collected List","被收藏列表"
"Buy","購買"
"Cancel Subscribe","取消訂閱"
"Cancel Like","取消點贊"
"Community","社區"
"Disable Review","關閉評論"
"Default Category","默認分類"
"Edited","已編輯"
"Edit Post","編輯帖子"
"Edit Thread","編輯帖子"
"Expired at","過期時間"
"Fans List","粉絲列表"
"Find","發現"
"Forum","論壇"
"Forum Configuration","論壇配置"
"Forum Management","論壇管理"
"Forum Account","個人中心"
"Forum Home","論壇首頁"
"From Post","來自帖子"
"Default Expiration of Poll","投票默認截止時間"
"Dislike","踩"
"Dynamic","關註動態"
"Subscribed","已訂閱"
"Subscribe Me","訂閱我"
"Fans","粉絲"
"Favorites","收藏"
"Hot","熱門"
"His Release","TA的發布"
"His Posts","TA的文章"
"I Liked It","我贊過的"
"I Liked %s Post","我贊了%s的帖子"
"I Liked %s Reply","我贊了%s的回復"
"Impeach","舉報"
"Impeached","被舉報"
"Impeachment","舉報"
"It is already the first picture.","已經是第壹張圖片"
"It is already the last picture.","已經是最後壹張圖片"
"It is not allowed to review until voted if No is specified.","如果設置為""否"", 必須先投票才可以評論。"
"Last comment was by.","暫無評論"
"Like","贊"
"Likes: %d","%d"
"Like/Dislike","贊/踩"
"Like/Dislike/Review","贊/踩/評論"
"Liked List","被贊列表"
"Account Logout","賬戶退出"
"Maximum Choices","最多可選項"
"Me","我"
"My Draft","我的草稿"
"My Release","我的發布"
"More Product","更多商品"
"No post available right now.","當前沒有可瀏覽的帖子"
"No review available right now.","當前沒有人評論該帖子"
"No movement for the time being.","暫無動態"
"No related products! ","暫無關聯相關產品！"
"Only %d option(s) could be chosen at most.","最多可選擇%d項"
"Personal Profile","個人資料"
"Post","帖子"
"Post Anonymously","匿名發帖"
"Post Management","帖子管理"
"Post New Pool","發起投票"
"Post New Thread","發表新帖"
"Post Image","發布主圖"
"Publish","發布"
"Publish Articles","發布文章"
"Read More","查看更多"
"Reply to","回復"
"Reply to My Post","回復我的帖子"
"Reply to My Reply","回復我的回復"
"Reply Management","回復管理"
"Review Anonymously","匿名評論"
"Reviews: %d","評論: %d"
"Reviews","評論"
"Release your Comments","發布您的評論"
"Retaled Post","相關文章"
"Retaled Product","相關產品"
