"API Key","API密鑰"
"Click <a href="https://www.trackingmore.com/">here</a> to get the API key","點擊<a href="https://www.trackingmore.com/">這裏</a>獲取API密鑰"
"Supported Carrier","支持的快遞"
"DHL","DHL"
"UPS","UPS"
"Fedex","Fedex-聯邦快遞"
"TNT","TNT"
"USPS","美國郵政"
"Canada Post","加拿大郵政"
"APC Postal Logistics","APC Postal Logistics"
"Newgistics","Newgistics"
"Old Dominion Freight Line","Old Dominion Freight Line"
"Estes","Estes"
"Greyhound","Greyhound"
"Globegistics Inc","Globegistics Inc"
"RL Carriers","RL Carriers"
"Canpar Courier","Canpar Courier"
"Shipgce Express","飛洋快遞"
"DHL Active Tracing","DHL Active Tracing"
"TNT Reference","TNT Reference"
"GLS","GLS"
"BRT Bartolini","BRT Bartolini"
"DPD","DPD"
"Aramex","Aramex"
"TOLL","TOLL"
"DHL ECommerce","DHL電子商務"
"DSV","DSV"
"Echo","Echo"
"OnTrac","OnTrac"
"Asendia USA","Asendia USA"
"Purolator","Purolator"
"I-parcel","I-parcel"
"Lasership","Lasership"
"SkyNet Worldwide Express","SkyNet國際快遞"
"IMEX Global Solutions","IMEX Global Solutions"
"RR Donnelley","RR Donnelley"
"Con-way Freight","Con-way Freight"
"Expeditors","Expeditors"
"UPS Mail Innovations","UPS Mail Innovations"
"China EMS","中國 EMS"
"China Post","中國郵政"
"Hong Kong Post","香港郵政"
"YANWEN","燕文"
"Macao Post","澳門郵政"
"WishPost","Wish郵"
"PFC Express","PFC皇家物流"
"Yun Express","雲途物流"
"CNE Express","CNE國際快遞"
"Buylogic","捷買送"
"4PX","遞四方"
"Anjun Logistics","安駿物流"
"J-NET Express","J-NET捷網"
"Miuson Express","深圳渺信國際物流"
"S.F International","順豐國際"
"S.F Express","順豐速遞"
"STO Express","申通快遞"
"YTO Express","圓通快遞"
"TTKD Express","天天快遞"
"JD Express","京東快遞"
"ZTO Express","中通快遞"
"ZJS International","宅急送快遞"
"Yunda Express","韻達快遞"
"DEPPON","德邦物流"
"XQ Express","星前物流"
"Chukou1 Logistics","出口易"
"XRU","XRU-俄速遞"
"Ruston","Ruston俄速通"
"QFKD Express","全峰快遞"
"Nanjing Woyuan","南京沃源"
"Hua Han Logistics","華翰物流"
"Flyt Express","飛特物流"
"Ali Business Logistics","阿裏電商物流"
"JCEX","JCEX佳成"
"DPE Express","遞必易"
"Logistic Worldwide Express","利威國際物流"
"Equick China","EQUICK國際快遞"
"Cuckoo Express","布谷鳥速遞"
"DWZ Express","遞五洲國際物流"
"Takesend Logistics","泰嘉物流"
"Aliexpress Standard Shipping","速賣通線上物流"
"TGX","TGX精英速運"
"UBon  Express","優邦速運"
"Profit Fields","永利八達通"
"Winit","winit萬邑通"
"360zebra","斑馬物流網"
"Rufengda","如風達"
"Far International Logistics","泛遠國際物流"
"Asendia HK","Asendia HK"
"Cess","國通快遞"
"Best Express","百世快遞"
"17 Post Service","17 Post Service"
"SINOAIR","中外運"
"T Cat","黑貓宅急便"
"Wise Express","萬色速遞"
"Sure56","速爾快遞"
"GATI Courier","GATI上海迦遞"
"DPEX China","DPEX國際快遞（中國）"
"1hcang","1號倉"
"Tea post","亞歐快運TEA"
"Sunyou","順友物流"
"Jiayi Express","佳怡物流"
"Espeedpost","易速國際物流"
"ETS Express","俄通收"
"One World Express","萬歐國際"
"SFC Service","三態速遞(SFC Service)"
"EMPS Express","EMPS Express"
"CPacket","CPacket"
"139 ECONOMIC Package","139快遞"
"KUAYUE EXPRESS","跨越速運"
"Fast Express","快捷快遞"
"IDEX","IDEX"
"ROSAN EXPRESS","中烏融盛速遞"
"WSGD Logistics","WSGD物流"
"China Russia56","俄必達A79"
"Eyou800","易友通"
"FD Express","方遞物流"
"UC Express","優速快遞"
"Singapore Post","新加坡郵政(小包)"
"Singapore Speedpost","新加坡特快專遞"
"India Post","印度郵政"
"Taiwan Post","臺灣郵政"
"Japan Post","日本郵政"
"Korea Post","韓國郵政"
"Syrian Post","敘利亞郵政"
"RaidereX","RaidereX"
"RZY Express","RZY Express"
"Thailand Post","泰國郵政"
"Airpak Express","Airpak Express"
"LBC Express","LBC Express"
"Pandu Logistics","Pandu Logistics"
"Uzbekistan Post","烏茲別克斯坦郵政"
"Vietnam Post","越南郵政"
"Yemen Post","也門郵政"
"Overnite Express","Overnite印度快遞"
"Afghan Post","阿富汗郵政"
"Armenia Post","亞美尼亞郵政"
"Azerbaijan Post","阿塞拜疆郵政"
"Bahrain Post","巴林郵政"
"Bangladesh EMS","孟加拉國 EMS"
"Bhutan Post","不丹郵政"
"Brunei Post","文萊郵政"
"Cambodia Post","柬埔寨郵政"
"Delcart","Delcart"
"City-Link Express","City-Link(信遞聯）"
"2GO","2GO"
"Xend Express","Xend"
"AIR21","AIR21"
"Airspeed International Corporation","Airspeed International Corporation"
"RAF Philippines","RAF Philippines"
"Tiki","Tiki"
"Wahana","Wahana"
"DHL Global Mail Asia","DHL Global Mail Asia"
"Giao Hàng Nhanh","Giao Hàng Nhanh"
"Viettel Post","Viettel Post"
"Dotzot","Dotzot"
"Kangaroo Worldwide Express","Kangaroo Worldwide Express"
"Maxcellents Pte Ltd","Maxcellents Pte Ltd"
"Nationwide Express","Nationwide Express"
"Georgia Post","格魯吉亞郵政"
"RPX Online","RPX保時達國際快遞"
"Nhans Solutions","Nhans Solutions"
"Jet-Ship Worldwide","Jet-Ship Worldwide"
"Ecargo","Ecargo"
"Delhivery","Delhivery"
"NuvoEx","NuvoEx"
"Parcelled.in","Parcelled.in"
"Ecom Express","Ecom Express"
"Quantium","冠庭國際物流"
"GDEX","GDEX"
"Alpha Fast","Alpha Fast快遞"
"Omni Parcel","Omni Parcel快遞"
"Indonesia Post","印度尼西亞郵政"
"SkyNet Malaysia","SkyNet"
"Iran Post","伊朗郵政"
"Trackon Courier","Trackon"
"Israel Post","以色列郵政"
"Jordan Post","約旦郵政"
"Kazakhstan Post","哈薩克斯坦郵政"
"Kyrgyzstan Post","吉爾吉斯斯坦郵政"
"Laos Post","老撾郵政"
"EC-Firstclass","EC-Firstclass"
"Lebanon Post","黎巴嫩郵政"
"WeDo Logistics","WeDo Logistics"
"Malaysia Post","馬來西亞郵政"
"Maldives Post","馬爾代夫郵政"
"Kerry Express","嘉裏大通物流"
"ACOMMERCE","ACommerce"
"Mongol Post","蒙古郵政"
"DPEX","DPEX"
"Bluedart","Bluedart"
"DTDC","DTDC"
"GoJavas","GoJavas"
"Fetchr","Fetchr"
"First Flight","First Flight"
"Gati-KWE","Gati-KWE"
"Oman Post","阿曼郵政"
"KGM Hub","KGM Hub"
"Qxpress","Qxpress"
"Parcel Express","Parcel Express"
"Ninja Van","Ninja Van"
"SRE Korea","SRE Korea"
"Yamato Japan","Yamato宅急便"
"Sagawa","Sagawa佐川急便"
"XpressBees","XpressBees"
"ABX Express","ABX Express"
"Mypostonline","Mypostonline"
"Pakistan Post","巴基斯坦郵政"
"Jam Express","Jam Express"
"Jayon Express (JEX)","Jayon Express (JEX)"
"Fastrak Services","Fastrak Services"
"RPX Indonesia","RPX Indonesia"
"Philippines Post","菲律賓郵政"
"Saudi Post","沙特阿拉伯郵政"
"Swiss Post","瑞士郵政"
"Netherlands Post - PostNL","荷蘭郵政-PostNL"
"Netherlands Post","荷蘭郵政(大包)"
"Belgium Post","比利時郵政"
"Russian Post","俄羅斯郵政"
